date,indicator_id,region,value,source_url
2016-03-31,edinet-yonden-revenue,JP,654013,https://api.edinet-fsa.go.jp/api/v2/documents/S1007Z93?type=5
2017-03-31,edinet-yonden-revenue,JP,684537,https://api.edinet-fsa.go.jp/api/v2/documents/S100ANUF?type=5
2018-03-31,edinet-yonden-revenue,JP,731775,https://api.edinet-fsa.go.jp/api/v2/documents/S100DECA?type=5
2019-03-31,edinet-yonden-revenue,JP,737274,https://api.edinet-fsa.go.jp/api/v2/documents/S100GAU8?type=5
2020-03-31,edinet-yonden-revenue,JP,733187,https://api.edinet-fsa.go.jp/api/v2/documents/S100IYYT?type=5
2021-03-31,edinet-yonden-revenue,JP,719231,https://api.edinet-fsa.go.jp/api/v2/documents/S100LPY7?type=5
2022-03-31,edinet-yonden-revenue,JP,641948,https://api.edinet-fsa.go.jp/api/v2/documents/S100OIKZ?type=5
2023-03-31,edinet-yonden-revenue,JP,833203,https://api.edinet-fsa.go.jp/api/v2/documents/S100R7M9?type=5
2024-03-31,edinet-yonden-revenue,JP,787403,https://api.edinet-fsa.go.jp/api/v2/documents/S100TSET?type=5
2025-03-31,edinet-yonden-revenue,JP,851399,https://api.edinet-fsa.go.jp/api/v2/documents/S100W2ML?type=5
